Outdoor Artificial Ice Rink ID,Asset Name,Park Name,Public Name,Rink Size,Lit Area,Number of Pads,District,Ward,Address,X Coordinate,Y Coordinate,Washroom,Changeroom,Skating Trail,Skate Rental
14072,ALBERT CAMPBELL SQUARE - Outdoor Artificial Ice Rink,ALBERT CAMPBELL SQUARE,SCARBOROUGH CIVIC CENTRE/ALBERT CAMPBELL SQUARE OUTDOOR ARTIFICIAL ICE RINK,570,Yes,1,Scarborough,38,150 BOROUGH DR,-79.25762966,43.77346148,Yes,Yes,,
14269,BARBARA ANN SCOTT/COLLEGE PARK - Outdoor Artificial Ice Rink,COLLEGE PARK,,,,,Toronto East York,27,444 YONGE ST,,,Yes,Yes,,
14265,BROADLANDS COMMUNITY CENTRE - Outdoor Artificial Ice Rink,BROADLANDS PARK,Broadlands Community Centre Outdoor Artificial Ice Rink,1460.9,Yes,1,North York,34,19 CASTLEGROVE BLVD,-79.32293167,43.74556378,Yes,Yes,,
14266,BUTTONWOOD PARK - Outdoor Artificial Ice Rink,BUTTONWOOD PARK,BUTTONWOOD OUTDOOR ARTIFICIAL ICE RINK,918,Yes,1,Etobicoke York,4,30 MULHAM PL,-79.5197349,43.68180564,,,,
14267,CAMPBELL AVENUE PLAYGROUND - Outdoor Artificial Ice Rink,CAMPBELL AVENUE PLAYGROUND,CAMPBELL AVENUE PLAYGROUND OUTDOOR ARTIFICIAL ICE RINK,1280,Yes,1,Toronto East York,18,225 CAMPBELL AVE,-79.44793821,43.66316703,Yes,Yes,,Yes
14062,CEDARVALE PARK - Outdoor Artificial Ice Rink,CEDARVALE PARK,CEDARVALE PARK OUTDOOR ARTIFICIAL ICE RINK,945,Yes,1,Toronto East York,21,443 ARLINGTON AVE,-79.43086061,43.69121324,Yes,Yes,,
14268,CHRISTIE PITS PARK - Outdoor Artificial Ice Rink,CHRISTIE PITS PARK,CHRISTIE PITS PARK OUTDOOR ARTIFICIAL ICE RINK,1380,Yes,1,Toronto East York,19,750 BLOOR ST W,-79.42220226,43.66536829,Yes,Yes,,
14064,COLONEL SAMUEL SMITH PARK - Skate Trail,COLONEL SAMUEL SMITH PARK,COLONEL SAM SMITH SKATING TRAIL,1546,Yes,,Etobicoke York,6,3145 LAKE SHORE BLVD W,-79.51562611,43.59285516,Yes,,Yes,
14271,DIEPPE PARK - Outdoor Artificial Ice Rink,DIEPPE PARK,DIEPPE PARK OUTDOOR ARTIFICIAL ICE RINK,1396,Yes,1,Toronto East York,29,455 COSBURN AVE,-79.33647956,43.69176627,Yes,Yes,Yes,
14273,DUFFERIN GROVE PARK - Outdoor Artificial Ice Rink,DUFFERIN GROVE PARK,DUFFERIN GROVE PARK OUTDOOR ARTIFICIAL ICE RINK,2084,Yes,2,Toronto East York,18,875 DUFFERIN ST,-79.43316782,43.65708625,Yes,Yes,,Yes
14275,GIOVANNI CABOTO - Outdoor Artificial Ice Rink,EARLSCOURT PARK,GIOVANNI CABOTO OUTDOOR ARTIFICIAL ICE RINK,1160,Yes,2,Etobicoke York,17,1367 ST CLAIR AVE W,-79.452739,43.6754079,Yes,Yes,,
14279,GLEN LONG COMMUNITY CENTRE - Outdoor Artificial Ice Rink,GLEN LONG PARK,Glen Long Community Centre Outdoor Artificial Ice Rink,1460.9,Yes,1,North York,15,35 GLEN LONG AVE,-79.45513848,43.70847483,Yes,Yes,,
14280,GREENWOOD PARK - Outdoor Artificial Ice Rink,GREENWOOD PARK,GREENWOOD PARK OUTDOOR ARTIFICIAL ICE RINK,1375,Yes,1,Toronto East York,30,150 GREENWOOD AVE,-79.3294076,43.6691501,Yes,Yes,Yes,
14262,HARRY GAIREY - ALEXANDRA PARK - Outdoor Artificial Ice Rink,ALEXANDRA PARK,HARRY GAIREY OUTDOOR ARTIFICIAL ICE RINK,2005,Yes,2,Toronto East York,20,275 BATHURST ST,-79.40492185,43.65111317,Yes,Yes,,
14281,HIGH PARK - Outdoor Artificial Ice Rink,HIGH PARK,HIGH PARK OUTDOOR ARTIFICIAL ICE RINK,2281,Yes,2,Etobicoke York,13,1873 BLOOR ST W,-79.4653219,43.64990355,Yes,Yes,,
14284,HODGSON PUBLIC SCHOOL - Outdoor Artificial Ice Rink,HODGSON PUBLIC SCHOOL - Building Grounds,HODGSON OUTDOOR ARTIFICIAL ICE RINK,2097,Yes,2,Toronto East York,22,276 DAVISVILLE AVE,-79.38574148,43.70125661,Yes,Yes,,
14285,HUMBER VALLEY RINK - Outdoor Artificial Ice Rink,HUMBER VALLEY PARK,HUMBER VALLEY OUTDOOR ARTIFICIAL ICE RINK,1331,Yes,1,Etobicoke York,4,50 ANGLESEY BLVD,-79.52467593,43.66444824,Yes,Yes,,
14286,IRVING W. CHAPLEY COMMUNITY CENTRE - Outdoor Artificial Ice Rink,IRVING W. CHAPLEY PARK,IRVING W. CHAPLEY COMMUNITY CENTRE - Outdoor Artificial Ice Rink,1460.9,Yes,1,North York,10,205 WILMINGTON AVE,-79.45569847,43.76114987,Yes,Yes,,
14287,JIMMIE SIMPSON PARK - Outdoor Artificial Ice Rink,JIMMIE SIMPSON PARK,JIMMIE SIMPSON PARK OUTDOOR ARTIFICIAL ICE RINK,1434,Yes,1,Toronto East York,30,870 QUEEN ST E,-79.34494086,43.66102956,Yes,Yes,,
14076,JOSEPH BANNON PARK - Outdoor Artificial Ice Rink,JOSEPH BANNON PARK,JOSEPH BANNON OUTDOOR ARTIFICIAL ICE RINK,519,Yes,1,Etobicoke York,7,65 MARY CHAPMAN BLVD,-79.53495341,43.73207382,,,,
44137,KEW GARDENS - Outdoor Artificial Ice Rink,KEW GARDENS,KEW GARDENS OUTDOOR ARTIFICAL ICE RINK,1392,Yes,1,Waterfront,32,2075 QUEEN ST E,-79.298,43.6668,Yes,Yes,,
14065,LAMBTON - KINGSWAY PARK - Outdoor Artificial Ice Rink,LAMBTON - KINGSWAY PARK,LAMBTON-KINGSWAY OUTDOOR ARTIFICIAL ICE RINK,1159,Yes,1,Etobicoke York,5,37 MARQUIS AVE,-79.50733385,43.65814262,,,,
14066,LEDBURY PARK - Outdoor Artificial Ice Rink,LEDBURY PARK,Ledbury Park Outdoor Artificial Ice Rink,2392.81,Yes,1,North York,16,160 LEDBURY ST,-79.42509845,43.72749179,Yes,Yes,,
60122,MCCOWAN DISTRICT PARK - Outdoor Artificial Ice Rink,MCCOWAN DISTRICT PARK,,,,,Scarborough,36,150 MCCOWAN RD,,,Yes,Yes,Yes,
14288,MEL LASTMAN SQUARE - Outdoor Artificial Ice Rink,MEL LASTMAN SQUARE,,739.86,Yes,1,North York,23,5100 YONGE ST,-79.4140903,43.76768489,Yes,Yes,,
14289,MONARCH PARK - Outdoor Artificial Ice Rink,MONARCH PARK,MONARCH PARK OUTDOOR ARTIFICAL ICE RINK,1447,Yes,1,Toronto East York,30,115 FELSTEAD AVE,-79.3255218,43.67711461,Yes,Yes,,
14067,NATHAN PHILLIPS SQUARE - Outdoor Artificial Ice Rink,NATHAN PHILLIPS SQUARE,NATHAN PHILLIPS SQUARE OUTDOOR ARTIFICIAL ICE RINK,1639,Yes,1,Toronto East York,27,100 QUEEN ST W,-79.3833484,43.65225673,Yes,Yes,,Yes
14278,NORTH TORONTO MEMORIAL - Outdoor Artificial Ice Rink,EGLINTON PARK,North Toronto Memorial Artificial Outdoor Ice Rink ,,Yes,1,North York,16,200 EGLINTON AVE W,-79.40446933,43.70653737,Yes,Yes,,
14069,OTTER CREEK CENTRE - Outdoor Artificial Ice Rink,OTTER CREEK CENTRE - Building Grounds,Otter Creek Outdoor Artificial Ice rink ,,yes,1,North York,16,140 CHERITAN AVE,-79.40989772,43.72116392,Yes,Yes,,
14073,PAUL QUARRINGTON - Outdoor Artificial Ice Rink ,SHERBOURNE COMMON,PAUL QUARRINGTON OUTDOOR ARTIFICIAL ICE RINK,765,Yes,1,Waterfront,28,61 DOCKSIDE DR,-79.36478445,43.64469768,Yes,,,
14290,PRINCE OF WALES RINK - Outdoor Artificial Ice Rink,PRINCE OF WALES PARK,PRINCE OF WALES OUTDOOR ARTIFICIAL ICE RINK,1531,Yes,1,Etobicoke York,6,1 THIRD ST,-79.49900595,43.5988146,Yes,Yes,,
14291,QUEENSWAY RINK - Outdoor Artificial Ice Rink,QUEENSWAY PARK,QUEENSWAY OUTDOOR ARTIFICIAL ICE RINK,935,Yes,1,Etobicoke York,5,8 AVON PARK DR,-79.50595072,43.6265818,Yes,,,
14292,RAMSDEN PARK - Outdoor Artificial Ice Rink,RAMSDEN PARK,RAMSDEN PARK OUTDOOR ARTIFICIAL ICE RINK,2090,Yes,2,Toronto East York,27,1020 YONGE ST,-79.39176621,43.6762154,Yes,Yes,,
14295,REGENT PARK - Outdoor Artificial Ice Rink,REGENT PARK SOUTH,REGENT PARK OUTDOOR ARTIFICIAL ICE RINK,1340,Yes,1,Toronto East York,28,480 SHUTER ST,-79.359362,43.65888955,Yes,Yes,,
14296,RENNIE PARK - Outdoor Artificial Ice Rink,RENNIE PARK,RENNIE OUTDOOR ARTIFICIAL ICE RINK,1270,Yes,1,Etobicoke York,13,1 RENNIE TER,-79.4733351,43.6444424,Yes,Yes,Yes,
14071,RIVERCREST RINK - Outdoor Artificial Ice Rink,RIVERCREST PUBLIC SCHOOL - Building Grounds,RIVERCREST OUTDOOR ARTIFICIAL ICE RINK,1062,Yes,1,Etobicoke York,2,30 HAREFIELD DR,-79.56967612,43.72890402,,,,
,RIVERDALE PARK EAST - Outdoor Artificial Ice Rink,RIVERDALE PARK EAST,RIVERDALE OUTDOOR ARTIFICIAL ICE RINK,,Yes,1,Toronto East York,30,550 BROADVIEW AVE,-79.3567987,43.671024,Yes,Yes,Yes,
14298,ROSEDALE PARK - Outdoor Artificial Ice Rink,ROSEDALE PARK,ROSEDALE PARK OUTDOOR ARTIFICIAL ICE RINK,1374,Yes,1,Toronto East York,27,20 SCHOLFIELD AVE,-79.3794105,43.68286227,Yes,Yes,,
14299,ROYALCREST RINK - Outdoor Artificial Ice Rink,ROYAL CREST PARK,ROYALCREAST OUTDOOR ARTIFICIAL ICE RINK,939,Yes,1,Etobicoke York,1,50 CABERNET CIR,-79.60501047,43.75253262,Yes,Yes,,
14300,RYERSON COMMUNITY PARK - Outdoor Artificial Ice Rink,RYERSON COMMUNITY PARK,RYERSON OUTDOOR ARTIFICIAL ICE RINK,1169,No,1,Toronto East York,27,25 GOULD ST,-79.37973025,43.65749619,,,,
14301,SIR ADAM BECK RINK - Outdoor Artificial Ice Rink,SIR ADAM BECK PARK,SIR ADAM BECK OUTDOOR ARTIFICIAL ICE RINK,1325,Yes,1,Etobicoke York,6,55 ELTHAM DR,-79.5478617,43.60233794,Yes,Yes,,
14302,SUMMERLEA RINK - Outdoor Artificial Ice Rink,SUMMERLEA PARK,SUMMERLEA OUTDOOR ARTIFICIAL ICE RINK,970,Yes,1,Etobicoke York,2,2 ARCOT BLVD,-79.55210635,43.72815981,,,,
14303,SUNNYDALE ACRES RINK - Outdoor Artificial Ice Rink,SUNNYDALE ACRES PARK,SUNNYDALE ACRES OUTDOOR ARTIFICIAL ICE RINK,1450,Yes,1,Etobicoke York,2,50 AMORO DR,-79.57831511,43.72449918,Yes,Yes,,
14304,TRINITY BELLWOODS PARK - Outdoor Artificial Ice Rink,TRINITY BELLWOODS PARK,TRINITY BELLWOODS PARK OUTDOOR ARTIFICIAL ICE RINK,1285,Yes,1,Toronto East York,19,790 QUEEN ST W,-79.41336285,43.64918882,Yes,Yes,,
14305,VALLEYFIELD PARK - Outdoor Artificial Ice Rink,VALLEYFIELD PARK,VALLEYFIELD OUTDOOR ARTIFICIAL ICE RINK,1034,Yes,1,Etobicoke York,4,35 THE WESTWAY,-79.53424074,43.69489828,Yes,Yes,,
14074,VAN HORNE PARK - Outdoor Artificial Ice Rink,VAN HORNE PARK,Pleasentview Community Centre Outdoor Artificial Ice Rink,442.22,Yes,1,North York,33,561 VAN HORNE AVE,-79.33761526,43.78670124,Yes,Yes,,
14307,WALLACE EMERSON PARK - Outdoor Artificial Ice Rink,WALLACE EMERSON PARK,WALLACE EMERSON PARK OUTDOOR ARTIFICIAL ICE RINK,2264,Yes,2,Toronto East York,18,1260 DUFFERIN ST,-79.43999064,43.66692824,Yes,Yes,,Yes
14308,WEDGEWOOD PARK - Outdoor Artificial Ice Rink,WEDGEWOOD PARK - ETOBICOKE,WEDGEWOOD OUTDOOR ARTIFICIAL ICE RINK,1062,Yes,1,Etobicoke York,5,15 SWAN AVE,-79.54741429,43.64416567,Yes,Yes,,
14075,WEST DEANE PARK - Outdoor Artificial Ice Rink,WEST DEANE PARK,WEST DEANE PARK/MARTINGROVE OUTDOOR ARTIFICIAL ICE RINK,1600,Yes,1,Etobicoke York,3,400 MARTIN GROVE RD,-79.5590943,43.66327224,Yes,Yes,,
14270,WEST MALL RINK - Outdoor Artificial Ice Rink (  1),DENNIS FLYNN PARK,WEST MALL OUTDOOR ARTIFICIAL ICE RINK,1432,Yes,1,Etobicoke York,3,370 THE WEST MALL,-79.56658169,43.64171387,Yes,Yes,,
31922,WEST MALL RINK - Outdoor Artificial Ice Rink (  2),DENNIS FLYNN PARK,WEST MALL OUTDOOR ARTIFICIAL ICE RINK,1472,Yes,1,Etobicoke York,3,370 THE WEST MALL,-79.56618232,43.64122721,Yes,Yes,,
14309,WESTGROVE RINK - Outdoor Artificial Ice Rink,WESTGROVE PARK,WESTGROVE ARTIFICIAL ICE RINK,981,Yes,1,Etobicoke York,4,15 REDGRAVE DR,-79.56767926,43.68273935,,,,
14310,WESTWAY OUTDOOR RINK - Outdoor Artificial Ice Rink,WESTWAY PARK,WESTWAY OUTDOOR ARTIFICIAL ICE RINK,1446,Yes,1,Etobicoke York,4,175 THE WESTWAY,-79.54197863,43.68804846,Yes,Yes,,
14311,WITHROW PARK - Outdoor Artificial Ice Rink,WITHROW PARK,WITHROW PARK OUTDOOR ARTIFICIAL ICE RINK,1471,Yes,1,Toronto East York,30,725 LOGAN AVE,-79.34653044,43.67438097,Yes,Yes,,
